192 East Broadway	New York	NY
331 East 10th Street	New York	NY
1000 Saint Nicholas Avenue	New York	NY
Broadway	New York	NY
6th Avenue & 42nd Street	New York	NY
75 Ninth Avenue	New York	NY
corner Broadway and Murray Street	New York	NY
Avenue A & Avenue B 2nd & 10th Streets	New York	NY
Covers cafes around the corner of  MacDougal St &	New York	NY
26 Greene Street	New York	NY
South St. and State St.	New York	NY
corner Chambers St. and Greenwich St.	New York	NY
West Side Highway between Vessey St. and Liberty S	New York	NY
South Street and Fulton Street	New York	NY
500 E 9th St	New York	NY
45 8th Ave	New York	NY
531 East 5th Street	New York	NY
103 Prince St	New York	NY
90 Stanton Street	New York	NY
76 Chambers St	New York	NY
308 Bowery	New York	NY
474 6th Ave	New York	NY
1685 First Avenue	New York	NY
32 Watts Street	New York	NY
13 Cornelia Street	New York	NY
1626 Second Avenue	New York	NY
41 Avenue B	New York	NY
166 2nd Ave	New York	NY
177 Ludlow St.	New York	NY
114 MacDougal Street	New York	NY
28 Jane Street	New York	NY
3 Av & 9 St	New York	NY
228 Front Street	New York	NY
210 East Third St.	New York	NY
11 Broadway	New York	NY
202 Ninth Avenue	New York	NY
115 Greenwich Avenue	New York	NY
118 St. Mark's Place	New York	NY
115 E. 57th St.	New York	NY
525 West 42nd Street	New York	NY
1010 Sixth Avenue	New York	NY
1074 1st Ave	New York	NY
206 3rd Avenue	New York	NY
109 St. Marks Place	New York	NY
127 Macdougal St.	New York	NY
119 West 23rd St.	New York	NY
342 East 11th Street	New York	NY
1817 2nd Avenue	New York	NY
1280 Lexington Ave	New York	NY
240 East 86th Street	New York	NY
2289 Broadway	New York	NY
1972 Broadway	New York	NY
33 East 17th Street	New York	NY
160 E 54th Street	New York	NY
675 Avenue Of The Americas	New York	NY
555 5th Ave	New York	NY
4 Astor Place	New York	NY
2186 Broadway	New York	NY
60 East 56th Street	New York	NY
1633 Broadway	New York	NY
61 West 48th Street	New York	NY
257 Park Avenue	New York	NY
38 East 45th Street	New York	NY
685 3rd Avenue	New York	NY
498 7th Avenue	New York	NY
461 Park Avenue South	New York	NY
200 Vesey Street	New York	NY
55 Broad Street	New York	NY
841 Broadway	New York	NY
11 West 42nd Street	New York	NY
55 Water Street	New York	NY
4th Avenue & Broadway	New York	NY
	New York	NY
Madison Avenue and 23rd Street	New York	NY
92 Plymouth Street	Brooklyn	NY
767 5th Avenue	New York	NY
568 Broadway	New York	NY
1363 Franklin Avenue	Bronx	NY
910 DeKalb Avenue	Brooklyn	NY
600 West 169th Street	New York	NY
155 Water St	Brooklyn	NY
9814 4th Avenue	Brooklyn	NY
130 W 3rd St	New York	NY
408 8th Ave	New York	NY
23rd Street and East River Drive	New York	NY
2438 Jerome Ave	Bronx	NY
Stone Street	New York	NY
102 North End Avenue	New York	NY
514 W 176th Street	New York	NY
320 Park Avenue	New York	NY
897 Broadway	New York	NY
250 East 54th Street	New York	NY
1633 Broadway	New York	NY
420 Lexington Avenue	New York	NY
14 Wall Street	New York	NY
568 Broadway	New York	NY
103 Washington Street	New York	NY
410 West 24th St	New York	NY
304 Bowery St	New York	NY
7th Ave & West 32nd St	New Yor k	NY
901 6th Avenue	New York	NY
341 5th Avenue	New York	NY
480 3rd Avenue	New York	NY
429 7th Avenue	New York	NY
490 8th Ave	New York	NY
972 6th Ave	New York	NY
427 10th Avenue	New York	NY
556 7th Ave	New York	NY
280 Madison Ave	New York	NY
220 West 42nd Street	New York	NY
688 8th Avenue	New York	NY
79-50 Bell Boulevard	Bayside	NY
85-41 Forest Parkway	Woodhaven	NY
Terminal 5	Jamaica	NY
290 Baychester Ave	Bronx	NY
2245 Richmond Avenue	Staten Island	NY
23-80 Bell Blvd.	Bayside	NY
	New York	NY
60 Wall Street	New York	NY
4350 Katonah Ave.	Bronx	NY
107 Avenue D	New York	NY
161 East 106th Street	New York	NY
128 W 72 Street	New York	NY
11 East 1st St	New York	NY
53 East 8th Street	New York	NY
62nd Street near Amsterdam Avenue	New York	NY
Columbus Avenue between 62nd and 65th Streets	New York	NY
65th Street between Amsterdam Avenue and Columbus Avenue	New York	NY
111 Wadsworth Ave	New York	NY
404 W 54th Street	New York	NY
396 Avenue of the Americas	New York	NY
16 W. 8th Street	New York	NY
Terminal 3 near Gate 6	Jamaica	NY
Behind the Northwest ticket counter	Flushing	NY
Battery  Place & 1 Place	New York	NY
1101 E Tremont Ave	Bronx	NY
4174 White Plains Rd	Bronx	NY
513 E 138th St	Bronx	NY
2170 White Plains Rd	Bronx	NY
1201 E 233rd St	Bronx	NY
2357 Arthur Ave	Bronx	NY
1600 Boston Rd	Bronx	NY
3279 3rd Avenue	Bronx	NY
86 E 167th St	Bronx	NY
101 E 170th St	Bronx	NY
5765 Broadway	Bronx	NY
2065 Jerome Ave	Bronx	NY
1515 Williamsbridge Rd	Bronx	NY
1982 Westchester Ave	Bronx	NY
3440-42 Jerome Ave	Bronx	NY
982 Southern Blvd	Bronx	NY
1600 Bruckner Blvd	Bronx	NY
51-67 E 161st St	Bronx	NY
212 E 161st Street	Bronx	NY
597-99 Grand Concourse	Bronx	NY
1745 University Ave	Bronx	NY
2630 Jerome Ave	Bronx	NY
85 Bruckner Blvd	Bronx	NY
1317 Castlehill Avenue	Bronx	NY
1212 E Gun Hill Road	Bronx	NY
300 E 204th St	Bronx	NY
2516 White Plains Rd	Bronx	NY
1865 Bruckner Blvd	Bronx	NY
1385 Metropolitan Avenue	Bronx	NY
50 W. 225th Street	Bronx	NY
2883 3rd Ave	Bronx	NY
314 East Fordham Road	Bronx	NY
318a East 149th St	Bronx	NY
2937 Broadway	New York	NY
50 Jamaica Ave	Brooklyn	NY
5121 5th Ave	Brooklyn	NY
275-81 Fourth Ave	Brooklyn	NY
1983 86th St	Brooklyn	NY
741 Grand St	Brooklyn	NY
1883 Atlantic Avenue	Brooklyn	NY
35-40 Nostrand Ave	Brooklyn	NY
2154 Nostrand Ave	Brooklyn	NY
2411 86th St	Brooklyn	NY
968 4th Ave	Brooklyn	NY
943 Flatbush Avenue	Brooklyn	NY
1607 Kings Highway	Brooklyn	NY
819 Pennsylvania Ave	Brooklyn	NY
289 9th St	Brooklyn	NY
700 Broadway	Brooklyn	NY
2800 Atlantic Ave	Brooklyn	NY
606 Neptune Ave	Brooklyn	NY
1531 Fulton Street	Brooklyn	NY
57 Empire Blvd	Brooklyn	NY
430 86th St.	Brooklyn	NY
880 Coney Island Ave	Brooklyn	NY
7602 Flatlands Avenue	Brooklyn	NY
2848 Church Avenue	Brooklyn	NY
7124 3rd Ave.	Brooklyn	NY
428 Knickerbocker Ave	Brooklyn	NY
267 Broadway	Brooklyn	NY
5407 Kings Plz	Brooklyn	NY
1101 Rutland Avenue	Brooklyn	NY
652 Meeker Ave	Brooklyn	NY
193 Smith Street	Brooklyn	NY
57 7th Avenue	Brooklyn	NY
249 5th Avenue	Brooklyn	NY
220 Cadman Plaza West	Brooklyn	NY
7025 3rd Ave	Brooklyn	NY
328 7th Ave	Brooklyn	NY
518 Metropolitan Ave	Brooklyn	NY
6423 18th Avenue	Brooklyn	NY
7419 3rd Avenue	Brooklyn	NY
9202 Third Avenue	Brooklyn	NY
607 Brighton Beach Av	Brooklyn	NY
167 Court Street	Brooklyn	NY
50 Court Street	Brooklyn	NY
33 Hillel Place	Brooklyn	NY
164 7th Avenue	Brooklyn	NY
218 Bedford Avenue	Brooklyn	NY
700 Grand Street	Brooklyn	NY
43 Underill Ave.	Brooklyn	NY
1752 Bath Ave.	Brooklyn	NY
106-15 71ST AVE	Forest Hills	NY
98-01 METROPOLITAN AVE	Forest Hills	NY
72-69 KISSENA BLVD	Flushing	NY
87-88 PARSON BLVD	Jamaica	NY
159-01 JAMAICA AVENUE	Jamaica	NY
95-05A 63RD DR	Rego Park	NY
91-19 QUEEN BLVD	Elmhurst	NY
95-05 57TH AVE	Corona	NY
119-05 LIBERTY AVE	Richmond Hills	NY
40-12 NATIONAL ST	Corona	NY
181-25 HILLSIDE AVENUE	Jamaica	NY
80-03 QUEENS BLVD	Elmhurst	NY
114-01 SUTPHIN BLVD	Jamaica	NY
37-59 82ND ST	Jackson Heights	NY
75-11 ROOSEVELT AVE	Jackson Heights	NY
37-19 JUNCTION BLVD	Corona	NY
155-14 ROOSEVELT AVE	Flushing	NY
54-29 METROPOLITAN AVE	Ridgewood	NY
59-60 55TH ROAD	Maspeth	NY
3001 STRATTON ST	Flushing	NY
203-11 NORTHERN BLVD	Bayside	NY
88-05 ASTORIA BLVD	E Elmhurst	NY
159-40 CROSS BAY BLVD	Howard Beach	NY
51-35 NORTHERN BLVD	Woodside	NY
54-04 MYRTLE AVE	Ridgewood	NY
45-06 GREENPOINT AVE	Sun	NY
88-14 SPRINGFIELD BLVD	Hillside	NY
31-67 STEINWAY ST	Astoria	NY
2049 Asch Loop North	Bronx	NY
947 Castle Hill Avenue	Bronx	NY
320 City Island Avenue	Bronx	NY
1215 Morrison Avenue	Bronx	NY
1385 East Gun Hill Road	Bronx	NY
